iter	Passed	Remaining
988	77351	79071
989	77425	78989
990	77499	78907
991	77572	78823
992	77648	78743
993	77722	78660
994	77793	78575
995	77865	78490
996	77939	78408
997	78016	78329
998	78093	78249
999	78166	78166
1000	78243	78087
1001	78318	78006
1002	78395	77926
1003	78479	77854
1004	78557	77776
1005	78633	77695
1006	78707	77613
1007	78787	77536
1008	78868	77461
1009	78962	77399
1010	79038	77318
1011	79126	77249
1012	79201	77168
1013	79278	77089
1014	79353	77008
1015	79431	76930
1016	79507	76849
1017	79582	76767
1018	79657	76687
1019	79730	76604
1020	79807	76524
1021	79881	76442
1022	79962	76366
1023	80038	76287
1024	80119	76210
1025	80191	76126
1026	80266	76045
1027	80341	75964
1028	80423	75890
1029	80501	75811
1030	80576	75730
1031	80655	75653
1032	80735	75576
1033	80813	75499
1034	80887	75417
1035	80965	75338
1036	81036	75253
1037	81118	75179
1038	81200	75104
1039	81272	75021
1040	81357	74948
1041	81435	74870
1042	81513	74792
1043	81584	74707
1044	81660	74627
1045	81736	74547
1046	81812	74466
1047	81885	74384
1048	81966	74309
1049	82041	74227
1050	82117	74148
1051	82207	74080
1052	82289	74006
1053	82366	73926
1054	82441	73845
1055	82514	73762
1056	82590	73682
1057	82666	73602
1058	82740	73521
1059	82819	73443
1060	82905	73372
1061	82987	73297
1062	83065	73219
1063	83143	73140
1064	83217	73059
1065	83296	72981
1066	83371	72901
1067	83447	72821
1068	83531	72748
1069	83613	72673
1070	83694	72598
1071	83810	72551
1072	83886	72472
1073	83964	72393
1074	84039	72313
1075	84115	72233
1076	84196	72156
1077	84269	72075
1078	84344	71993
1079	84420	71913
1080	84513	71848
1081	84588	71767
1082	84664	71686
1083	84740	71606
1084	84816	71527
1085	84891	71446
1086	84968	71367
1087	85043	71286
1088	85121	71208
1089	85200	71130
1090	85281	71055
1091	85355	70973
1092	85429	70891
1093	85508	70814
1094	85586	70735
1095	85661	70655
1096	85738	70576
1097	85824	70503
1098	85901	70425
1099	85976	70344
1100	86050	70263
1101	86123	70180
1102	86197	70098
1103	86279	70023
1104	86366	69952
1105	86440	69871
1106	86518	69792
1107	86592	69711
1108	86665	69629
1109	86737	69546
1110	86816	69469
1111	86894	69390
1112	86969	69310
1113	87054	69237
1114	87132	69158
1115	87205	69076
1116	87286	69000
1117	87367	68924
1118	87447	68848
1119	87528	68772
1120	87608	68695
1121	87684	68616
1122	87761	68536
1123	87834	68454
1124	87911	68375
1125	87990	68297
1126	88068	68219
1127	88143	68139
1128	88224	68063
1129	88301	67984
1130	88374	67902
1131	88452	67824
1132	88526	67743
1133	88602	67663
1134	88679	67584
1135	88763	67510
1136	88843	67433
1137	88934	67365
1138	89010	67285
1139	89080	67201
1140	89159	67123
1141	89235	67043
1142	89308	66961
1143	89380	66879
1144	89458	66801
1145	89533	66720
1146	89614	66644
1147	89702	66573
1148	89781	66496
1149	89860	66418
1150	89938	66340
1151	90014	66260
1152	90090	66180
1153	90167	66101
1154	90243	66022
1155	90327	65948
1156	90411	65874
1157	90489	65796
1158	90561	65713
1159	90636	65633
1160	90709	65551
1161	90783	65470
