iter	Passed	Remaining
780	54736	786285
781	54804	786181
782	54867	786015
783	54936	785930
784	55000	785777
785	55074	785759
786	55149	785755
787	55219	785691
788	55312	785944
789	55388	785955
790	55454	785824
791	55521	785719
792	55598	785742
793	55670	785699
794	55742	785651
795	55808	785529
796	55876	785432
797	55954	785470
798	56019	785323
799	56089	785259
800	56161	785211
801	56230	785119
802	56304	785107
803	56374	785035
804	56447	784999
805	56515	784909
806	56582	784796
807	56650	784692
808	56721	784641
809	56822	784997
810	57045	787032
811	57156	787518
812	57262	787941
813	57344	788025
814	57421	788049
815	57492	787982
816	57563	787916
817	57661	788222
818	57773	788721
819	57859	788863
820	57937	788901
821	58010	788856
822	58078	788753
823	58146	788641
824	58215	788551
825	58292	788574
826	58374	788654
827	58446	788601
828	58518	788549
829	58583	788400
830	58647	788251
831	58721	788227
832	58794	788181
833	58861	788061
834	58928	787949
835	58996	787846
836	59064	787731
837	59135	787671
838	59204	787586
839	59273	787489
840	59346	787454
841	59417	787385
842	59493	787395
843	59561	787280
844	59625	787122
845	59689	786975
846	59754	786830
847	59819	786678
848	59881	786504
849	59949	786396
850	60013	786245
851	60081	786139
852	60144	785973
853	60210	785834
854	60273	785676
855	60343	785593
856	60406	785427
857	60471	785284
858	60535	785126
859	60601	784995
860	60670	784908
861	60741	784844
862	60803	784664
863	60869	784539
864	60937	784437
865	61003	784313
866	61068	784175
867	61139	784102
868	61210	784041
869	61289	784084
870	61359	784003
871	61422	783846
872	61485	783679
873	61548	783513
874	61614	783381
875	61677	783221
876	61742	783081
877	61809	782962
878	61870	782779
879	61932	782604
880	62000	782498
881	62064	782348
882	62128	782201
883	62192	782054
884	62257	781908
885	62321	781762
886	62392	781696
887	62456	781553
888	62519	781385
889	62588	781297
890	62651	781145
891	62715	780996
892	62791	780993
893	62880	781150
894	62946	781028
895	63013	780912
896	63075	780745
897	63141	780614
898	63206	780484
899	63269	780324
900	63335	780195
901	63400	780063
902	63466	779942
903	63531	779802
904	63595	779654
905	63665	779580
906	63729	779437
907	63793	779288
908	63855	779124
909	63918	778965
910	63981	778806
911	64044	778651
912	64111	778541
913	64175	778388
914	64236	778208
915	64299	778052
916	64363	777909
917	64426	777753
918	64492	777632
919	64556	777490
920	64620	777344
921	64686	777214
922	64749	777069
923	64813	776921
924	64880	776815
925	64944	776663
926	65009	776539
927	65080	776472
928	65151	776417
929	65242	776594
930	65319	776612
931	65385	776492
932	65453	776390
933	65517	776253
934	65582	776120
935	65646	775971
936	65711	775847
937	65782	775782
938	65849	775679
939	65915	775561
940	65982	775449
941	66047	775319
942	66111	775178
943	66177	775067
944	66247	774995
945	66313	774872
946	66380	774765
947	66443	774610
948	66524	774664
949	66589	774543
950	66653	774405
951	66721	774301
952	66788	774202
953	66868	774244
954	66935	774135
955	67012	774144
956	67077	774019
957	67143	773901
958	67211	773811
959	67279	773716
960	67351	773671
961	67420	773578
962	67484	773441
963	67549	773311
964	67612	773167
965	67680	773066
966	67746	772954
967	67817	772891
968	67880	772749
969	67944	772600
970	68016	772557
971	68084	772464
972	68151	772355
973	68215	772216
974	68283	772124
975	68347	771990
976	68410	771845
977	68476	771725
978	68542	771606
979	68611	771533
980	68678	771425
981	68742	771284
982	68805	771145
983	68880	771120
984	68956	771125
985	69018	770960
986	69082	770828
987	69146	770694
988	69211	770563
989	69276	770438
990	69342	770322
991	69412	770252
992	69481	770175
993	69548	770073
994	69612	769938
995	69676	769802
996	69741	769679
997	69806	769552
998	69878	769506
999	69941	769358
1000	70005	769217
1001	70070	769102
1002	70133	768955
1003	70200	768854
1004	70267	768742
1005	70333	768638
1006	70397	768498
1007	70463	768385
1008	70528	768268
1009	70593	768142
1010	70661	768048
1011	70726	767929
1012	70788	767776
1013	70852	767638
1014	70917	767515
1015	70983	767406
1016	71051	767313
1017	71122	767261
1018	71204	767322
1019	71277	767281
1020	71348	767222
1021	71413	767101
1022	71483	767028
1023	71557	767004
1024	71625	766920
1025	71691	766804
1026	71759	766713
1027	71827	766629
1028	71890	766482
1029	71954	766353
1030	72019	766226
1031	72084	766107
1032	72146	765956
1033	72213	765854
1034	72277	765719
1035	72344	765626
1036	72411	765519
1037	72482	765461
1038	72549	765362
1039	72614	765241
1040	72679	765119
1041	72744	765002
1042	72807	764864
1043	72871	764726
1044	72937	764625
1045	73004	764520
1046	73071	764426
1047	73138	764327
1048	73201	764180
1049	73267	764075
1050	73335	763983
1051	73402	763887
1052	73469	763785
1053	73533	763665
1054	73597	763534
1055	73665	763440
1056	73727	763295
1057	73791	763159
1058	73866	763146
1059	73957	763293
1060	74028	763240
1061	74096	763149
1062	74162	763040
1063	74227	762929
1064	74293	762812
1065	74359	762705
1066	74422	762570
1067	74485	762431
1068	74557	762378
1069	74630	762346
1070	74701	762288
1071	74769	762203
1072	74843	762172
1073	74906	762041
1074	74974	761945
1075	75041	761857
1076	75109	761766
1077	75197	761883
1078	75264	761780
1079	75332	761692
1080	75396	761568
1081	75470	761545
1082	75550	761573
1083	75615	761459
1084	75679	761333
1085	75743	761199
1086	75809	761097
1087	75875	760985
1088	75939	760857
1089	76004	760741
1090	76077	760703
1091	76148	760645
1092	76215	760547
1093	76278	760416
1094	76344	760306
1095	76409	760192
1096	76476	760091
1097	76542	759990
1098	76606	759856
1099	76673	759769
1100	76741	759677
1101	76815	759648
1102	76897	759706
1103	76968	759641
1104	77037	759571
1105	77102	759448
1106	77164	759306
1107	77230	759202
1108	77296	759095
1109	77366	759030
1110	77429	758888
1111	77491	758751
1112	77555	758621
1113	77619	758496
1114	77682	758367
1115	77751	758290
1116	77817	758184
1117	77882	758067
1118	77949	757965
1119	78013	757847
1120	78078	757735
1121	78145	757637
1122	78208	757503
1123	78272	757380
1124	78343	757320
1125	78415	757271
1126	78482	757181
1127	78549	757087
1128	78612	756949
1129	78675	756818
1130	78745	756748
1131	78808	756621
1132	78872	756498
1133	78938	756385
1134	79001	756253
1135	79069	756172
1136	79138	756092
1137	79202	755976
1138	79265	755841
1139	79327	755700
1140	79391	755571
1141	79455	755456
1142	79520	755336
1143	79593	755303
1144	79670	755303
1145	79734	755180
1146	79798	755060
1147	79864	754956
1148	79932	754867
1149	79995	754740
1150	80065	754675
1151	80128	754547
1152	80194	754442
1153	80259	754327
1154	80324	754215
1155	80386	754079
1156	80456	754006
1157	80526	753941
1158	80596	753882
1159	80671	753863
1160	80737	753756
1161	80799	753616
1162	80864	753507
1163	80959	753673
1164	81055	753846
1165	81134	753868
1166	81203	753797
1167	81294	753920
1168	81359	753807
1169	81426	753714
1170	81493	753624
1171	81556	753488
1172	81625	753416
1173	81688	753290
1174	81760	753242
1175	81830	753178
1176	81894	753049
1177	81958	752931
1178	82021	752806
1179	82084	752675
1180	82149	752561
1181	82220	752500
1182	82286	752402
1183	82350	752278
1184	82414	752163
1185	82480	752061
1186	82555	752044
1187	82623	751956
1188	82689	751857
1189	82757	751770
1190	82823	751674
1191	82892	751594
1192	82957	751484
1193	83025	751403
1194	83092	751304
1195	83156	751188
1196	83238	751233
1197	83305	751143
1198	83369	751022
1199	83435	750919
1200	83499	750795
1201	83561	750660
1202	83629	750579
1203	83694	750471
1204	83759	750357
1205	83825	750260
1206	83888	750130
1207	83953	750022
1208	84016	749892
1209	84080	749776
1210	84142	749636
1211	84203	749498
1212	84265	749360
1213	84334	749282
1214	84396	749152
1215	84460	749032
1216	84526	748927
1217	84590	748817
1218	84655	748701
1219	84721	748600
1220	84786	748499
1221	84852	748392
1222	84914	748262
1223	84981	748166
1224	85052	748115
1225	85122	748046
1226	85211	748152
1227	85276	748047
1228	85340	747931
1229	85404	747812
1230	85468	747689
1231	85532	747572
1232	85596	747463
1233	85665	747382
1234	85732	747298
1235	85798	747194
1236	85862	747082
1237	85925	746952
1238	85990	746844
1239	86051	746708
1240	86117	746603
1241	86183	746511
1242	86249	746408
1243	86316	746320
1244	86382	746221
1245	86446	746107
1246	86511	745997
1247	86574	745872
1248	86641	745781
1249	86714	745746
1250	86783	745668
1251	86866	745718
1252	86933	745627
1253	87000	745542
1254	87065	745429
1255	87129	745314
1256	87199	745251
1257	87270	745201
1258	87337	745106
1259	87402	745005
1260	87471	744932
1261	87543	744879
1262	87612	744808
1263	87684	744762
1264	87754	744695
1265	87822	744618
1266	87887	744509
1267	87960	744471
1268	88024	744355
1269	88092	744275
1270	88161	744203
1271	88231	744138
1272	88303	744097
1273	88376	744053
1274	88447	744002
1275	88516	743926
1276	88582	743825
1277	88647	743722
1278	88716	743654
1279	88789	743610
1280	88859	743544
1281	88937	743551
1282	89014	743542
1283	89084	743478
1284	89158	743448
1285	89231	743410
1286	89302	743356
1287	89372	743293
1288	89449	743288
1289	89528	743293
